id,name,PLZ
4646,Ermatingen,8273
4651,Gottlieben,8274
4656,Güttingen,8594
4666,Kemmental,8565
4666,Kemmental,8566
4666,Kemmental,8573
4681,Langrickenbach,8585
4683,Lengwil,8574
4691,Münsterlingen,8596
4691,Münsterlingen,8597
4701,Wäldi,8558
4701,Wäldi,8564
4711,Affeltrangen,8514
4711,Affeltrangen,9555
4711,Affeltrangen,9556
4711,Affeltrangen,9562
4716,Bettwiesen,9553
4721,Bichelsee-Balterswil,8362
4723,Braunau,9502
4724,Eschlikon,8360
4724,Eschlikon,8370
4726,Fischingen,8372
4726,Fischingen,8374
4741,Lommis,9506
4741,Lommis,9508
4746,Münchwilen (TG),9542
4751,Rickenbach (TG),9535
4756,Schönholzerswilen,8577
4761,Sirnach,8371
4761,Sirnach,9573
4776,Tobel-Tägerschen,9554
4781,Wängi,9545
4781,Wängi,9546
4801,Berlingen,8267
4806,Eschenz,8264
4811,Herdern,8506
4811,Herdern,8535
4816,Homburg,8507
4816,Homburg,8508
4821,Hüttwilen,8537
4826,Mammern,8265
4831,Müllheim,8555
4841,Pfyn,8505
4851,Salenstein,8268
4851,Salenstein,8269
4864,Steckborn,8266
4871,Wagenhausen,8259
4881,Amlikon-Bissegg,8554
4891,Berg (TG),8570
4891,Berg (TG),8572
4891,Berg (TG),8576
4891,Berg (TG),8584
4911,Bürglen (TG),8575
4921,Bussnang,9503
4921,Bussnang,9504
4921,Bussnang,9517
4921,Bussnang,9565
4941,Märstetten,8560
4941,Märstetten,8561
4951,Wigoltingen,8556
5001,Arbedo-Castione,6517
5001,Arbedo-Castione,6532
5002,Bellinzona,6500
5002,Bellinzona,6503
5002,Bellinzona,6512
5002,Bellinzona,6513
5002,Bellinzona,6514
5002,Bellinzona,6515
5002,Bellinzona,6518
5002,Bellinzona,6523
5002,Bellinzona,6524
5002,Bellinzona,6525
5002,Bellinzona,6528
5002,Bellinzona,6582
5002,Bellinzona,6583
5002,Bellinzona,6584
5002,Bellinzona,6592
5002,Bellinzona,6702
5003,Cadenazzo,6593
5003,Cadenazzo,6599
5009,Isone,6810
5048,Acquarossa,6715
5048,Acquarossa,6716
5048,Acquarossa,6721
5048,Acquarossa,6722
5048,Acquarossa,6723
5048,Acquarossa,6724
5049,Blenio,6717
5049,Blenio,6718
5049,Blenio,6719
5049,Blenio,6720
5050,Serravalle,6713
5050,Serravalle,6714
5061,Airolo,6780
5063,Bedretto,6781
5064,Bodio,6743
5071,Dalpe,6774
5072,Faido,6746
5072,Faido,6747
5072,Faido,6748
5072,Faido,6749
5072,Faido,6760
5072,Faido,6763
5072,Faido,6764
5073,Giornico,6745
5076,Personico,6744
5077,Pollegio,6742
5078,Prato (Leventina),6772
5078,Prato (Leventina),6773
5079,Quinto,6775
5079,Quinto,6776
5079,Quinto,6777
5091,Ascona,6612
5091,Ascona,6618
5096,Brione sopra Minusio,6645
5096,Brione sopra Minusio,6646
5097,Brissago,6614
5108,Gordola,6596
5112,Lavertezzo,6595
5113,Locarno,6516
5113,Locarno,6572
5113,Locarno,6594
5113,Locarno,6600
5113,Locarno,6605
5113,Locarno,6644
5113,Locarno,6652
5115,Losone,6616
5117,Mergoscia,6647
5118,Minusio,6598
5118,Minusio,6648
5125,Ronco sopra Ascona,6613
5125,Ronco sopra Ascona,6622
5136,Onsernone,6611
5136,Onsernone,6661
5136,Onsernone,6662
5136,Onsernone,6663
5136,Onsernone,6664
5138,Cugnasco-Gerra,6597
5141,Agno,6982
5141,Agno,6990
5141,Agno,6992
5143,Aranno,6994
5144,Arogno,6822
5144,Arogno,6823
5146,Astano,6999
5148,Bedano,6930
5149,Bedigliora,6981
5149,Bedigliora,6986
5151,Bioggio,6934
5151,Bioggio,6935
5151,Bioggio,6993
5154,Bissone,6816
5160,Brusino Arsizio,6827
5160,Brusino Arsizio,6867
5161,Cademario,6936
5162,Cadempino,6814
5167,Canobbio,6952
5171,Caslano,6987
5176,Comano,6944
5176,Comano,6949
5186,Grancia,6916
5187,Gravesano,6929
5189,Lamone,6807
5192,Lugano,6900
5192,Lugano,6912
5192,Lugano,6913
5192,Lugano,6914
5192,Lugano,6915
5192,Lugano,6917
5192,Lugano,6918
5192,Lugano,6932
5192,Lugano,6943
5192,Lugano,6951
5192,Lugano,6959
5192,Lugano,6962
5192,Lugano,6963
5192,Lugano,6964
5192,Lugano,6965
5192,Lugano,6966
5192,Lugano,6967
5192,Lugano,6968
5192,Lugano,6974
5192,Lugano,6976
5192,Lugano,6977
5192,Lugano,6978
5192,Lugano,6979
5193,Magliaso,6983
5194,Manno,6928
5198,Melide,6815
5199,Mezzovico-Vira,6805
5203,Morcote,6922
5205,Muzzano,6933
5206,Neggio,6991
5208,Origlio,6945
5212,Ponte Capriasca,6946
5214,Porza,6942
5214,Porza,6948
5216,Pura,6984
5225,Sorengo,6924
5226,Capriasca,6947
5226,Capriasca,6950
5226,Capriasca,6953
5226,Capriasca,6954
5226,Capriasca,6955
5226,Capriasca,6956
5226,Capriasca,6957
5226,Capriasca,6958
5226,Capriasca,6960
5227,Torricella-Taverne,6808
5233,Vico Morcote,6921
5236,Collina d'Oro,6919
5236,Collina d'Oro,6925
5236,Collina d'Oro,6926
5236,Collina d'Oro,6927
5237,Alto Malcantone,6937
5237,Alto Malcantone,6938
5237,Alto Malcantone,6939
5238,Monteceneri,6802
5238,Monteceneri,6803
5238,Monteceneri,6804
5238,Monteceneri,6806
5238,Monteceneri,6809
5239,Tresa,6980
5239,Tresa,6988
5239,Tresa,6989
5239,Tresa,6995
5239,Tresa,6997
5239,Tresa,6998
5242,Balerna,6828
5242,Balerna,6830
5249,Castel San Pietro,6850
5249,Castel San Pietro,6872
5249,Castel San Pietro,6873
5249,Castel San Pietro,6874
5249,Castel San Pietro,6875
5249,Castel San Pietro,6877
5250,Chiasso,6832
5254,Mendrisio,6852
5254,Mendrisio,6853
5254,Mendrisio,6855
5254,Mendrisio,6862
5254,Mendrisio,6863
5254,Mendrisio,6864
5254,Mendrisio,6865
5254,Mendrisio,6866
5257,Morbio Inferiore,6834
5260,Novazzano,6883
5263,Riva San Vitale,6826
5266,Stabio,6854
5268,Vacallo,6833
5269,Breggia,6835
5269,Breggia,6837
5269,Breggia,6838
5269,Breggia,6839
5281,Biasca,6710
5287,Riviera,6526
5287,Riviera,6527
5287,Riviera,6703
5287,Riviera,6705
5287,Riviera,6707
5304,Bosco/Gurin,6685
5307,Campo (Vallemaggia),6683
5307,Campo (Vallemaggia),6684
5310,Cevio,6675
5310,Cevio,6676
5310,Cevio,6690
5315,Linescio,6682
5317,Maggia,6673
5317,Maggia,6674
5317,Maggia,6677
5317,Maggia,6678
5323,Lavizzara,6692
5323,Lavizzara,6693
5323,Lavizzara,6694
5323,Lavizzara,6695
5323,Lavizzara,6696
5324,Avegno Gordevio,6670
5324,Avegno Gordevio,6672
5396,Terre di Pedemonte,6653
5396,Terre di Pedemonte,6654
5397,Centovalli,6655
5397,Centovalli,6656
5397,Centovalli,6657
5397,Centovalli,6658
5397,Centovalli,6659
5398,Gambarogno,6571
5398,Gambarogno,6573
5398,Gambarogno,6574
5398,Gambarogno,6575
