ID,MainCategory,SubCategory,TotalPower
4921,Other renewable energies,Photovoltaic,934.65
4941,Other renewable energies,Photovoltaic,2536.14
4946,Other renewable energies,Photovoltaic,15298.63
4946,Other renewable energies,Waste,15640.00
4946,Other renewable energies,Biomass,175.00
4946,Fossil fuel,Natural gas,30.00
4946,Hydroelectric power,Hydroelectric power,1560.00
4951,Other renewable energies,Photovoltaic,765.42
5001,Hydroelectric power,Hydroelectric power,50.00
5001,Other renewable energies,Photovoltaic,16.32
5002,Other renewable energies,Photovoltaic,4821.68
5002,Hydroelectric power,Hydroelectric power,90.00
5003,Other renewable energies,Biomass,499.00
5003,Other renewable energies,Photovoltaic,5714.22
5009,Other renewable energies,Photovoltaic,152.43
5010,Other renewable energies,Photovoltaic,686.55
5017,Other renewable energies,Photovoltaic,170.60
5048,Hydroelectric power,Hydroelectric power,14.00
5048,Other renewable energies,Photovoltaic,151.27
5050,Other renewable energies,Photovoltaic,18.00
5061,Other renewable energies,Wind energy,10200.00
5061,Other renewable energies,Photovoltaic,315.39
5061,Hydroelectric power,Hydroelectric power,54247.00
5063,Hydroelectric power,Hydroelectric power,1800.00
5064,Other renewable energies,Photovoltaic,357.42
5064,Hydroelectric power,Hydroelectric power,130.00
5071,Other renewable energies,Photovoltaic,151.61
5071,Hydroelectric power,Hydroelectric power,1000.00
5072,Other renewable energies,Photovoltaic,321.38
5073,Other renewable energies,Photovoltaic,267.49
5076,Other renewable energies,Photovoltaic,91.40
5076,Hydroelectric power,Hydroelectric power,123913.00
5077,Other renewable energies,Photovoltaic,418.16
5078,Other renewable energies,Photovoltaic,33.18
5079,Other renewable energies,Wind energy,2550.00
5079,Other renewable energies,Photovoltaic,202.84
5079,Hydroelectric power,Hydroelectric power,93.00
5091,Other renewable energies,Photovoltaic,1517.26
5096,Other renewable energies,Photovoltaic,783.95
5096,Hydroelectric power,Hydroelectric power,93.00
5097,Other renewable energies,Photovoltaic,994.11
5108,Other renewable energies,Photovoltaic,3113.50
5108,Other renewable energies,Biomass,260.00
5108,Hydroelectric power,Hydroelectric power,79955.60
5112,Other renewable energies,Photovoltaic,21.52
5113,Other renewable energies,Photovoltaic,2846.77
5113,Hydroelectric power,Hydroelectric power,4320.00
5113,Fossil fuel,Natural gas,252.00
5115,Other renewable energies,Photovoltaic,3450.14
5117,Other renewable energies,Photovoltaic,141.65
5118,Other renewable energies,Photovoltaic,1908.04
5120,Other renewable energies,Photovoltaic,307.62
5121,Other renewable energies,Photovoltaic,425.74
5125,Other renewable energies,Photovoltaic,379.15
5131,Other renewable energies,Photovoltaic,26.74
5138,Other renewable energies,Photovoltaic,141.56
5141,Other renewable energies,Photovoltaic,1114.10
5143,Other renewable energies,Photovoltaic,180.94
5144,Other renewable energies,Photovoltaic,514.88
5146,Other renewable energies,Photovoltaic,155.61
5148,Other renewable energies,Photovoltaic,1346.66
5149,Other renewable energies,Photovoltaic,242.56
5151,Other renewable energies,Photovoltaic,3079.48
5151,Other renewable energies,Biomass,527.00
5154,Other renewable energies,Photovoltaic,167.02
5160,Other renewable energies,Photovoltaic,177.04
5161,Other renewable energies,Photovoltaic,444.76
5162,Other renewable energies,Photovoltaic,1185.36
5167,Other renewable energies,Photovoltaic,777.48
5171,Other renewable energies,Photovoltaic,2557.30
5176,Other renewable energies,Photovoltaic,1057.17
5180,Other renewable energies,Photovoltaic,779.69
5181,Other renewable energies,Photovoltaic,330.15
5186,Other renewable energies,Photovoltaic,1996.26
5187,Other renewable energies,Photovoltaic,482.96
5189,Other renewable energies,Photovoltaic,633.32
5192,Other renewable energies,Photovoltaic,1707.22
5192,Fossil fuel,Natural gas,382.00
5192,Hydroelectric power,Hydroelectric power,52.00
5193,Other renewable energies,Photovoltaic,1203.20
5194,Other renewable energies,Photovoltaic,3454.53
5195,Other renewable energies,Photovoltaic,147.49
