ID,MainCategory,SubCategory,TotalPower,Date
2306,Other renewable energies,Photovoltaic,968.4400000000003,2011
2556,Other renewable energies,Photovoltaic,40.2,2009
5749,Other renewable energies,Photovoltaic,299,2011
611,Other renewable energies,Photovoltaic,130.56,2011
632,Other renewable energies,Photovoltaic,115.88000000000001,2011
2305,Other renewable energies,Photovoltaic,239.81999999999996,2011
2308,Other renewable energies,Photovoltaic,151.6,2011
4816,Other renewable energies,Photovoltaic,241.39999999999998,2011
4826,Other renewable energies,Photovoltaic,89.13,2011
2769,Other renewable energies,Photovoltaic,37.400000000000006,2008
2770,Other renewable energies,Photovoltaic,14.5,2008
121,Other renewable energies,Photovoltaic,10.8,2009
5622,Other renewable energies,Photovoltaic,3.1,2008
3005,Other renewable energies,Photovoltaic,10.8,2008
3341,Other renewable energies,Photovoltaic,183.24000000000004,2009
3342,Other renewable energies,Photovoltaic,109.66000000000001,2009
3203,Other renewable energies,Photovoltaic,258.53,2010
2138,Other renewable energies,Photovoltaic,13,2007
2163,Other renewable energies,Photovoltaic,13,2007
2299,Other renewable energies,Photovoltaic,39,2007
2300,Other renewable energies,Photovoltaic,13,2007
2546,Other renewable energies,Photovoltaic,319.34999999999997,2011
216,Other renewable energies,Photovoltaic,5.4,2008
2933,Other renewable energies,Photovoltaic,133.2,2011
1301,Other renewable energies,Photovoltaic,101.17999999999999,2009
1321,Other renewable energies,Photovoltaic,57.96,2009
1364,Other renewable energies,Photovoltaic,445.06,2011
1372,Other renewable energies,Photovoltaic,473.93,2011
4436,Other renewable energies,Photovoltaic,13.8,2008
4451,Other renewable energies,Photovoltaic,13.8,2008
5742,Other renewable energies,Photovoltaic,598.03,2011
2292,Other renewable energies,Photovoltaic,7.3,2008
2299,Other renewable energies,Photovoltaic,27.5,2008
1207,Other renewable energies,Photovoltaic,68.30000000000001,2009
1010,Other renewable energies,Photovoltaic,652.28,2011
3402,Other renewable energies,Photovoltaic,538.62,2008
3422,Other renewable energies,Photovoltaic,513.42,2008
3405,Other renewable energies,Photovoltaic,128.5,2009
3407,Other renewable energies,Photovoltaic,35.599999999999994,2009
3408,Other renewable energies,Photovoltaic,29.799999999999997,2009
4726,Other renewable energies,Photovoltaic,9.24,2008
1341,Other renewable energies,Photovoltaic,29.4,2009
261,Other renewable energies,Photovoltaic,641.4000000000001,2008
556,Other renewable energies,Photovoltaic,588.22,2011
2528,Other renewable energies,Photovoltaic,622.3199999999999,2011
3024,Other renewable energies,Photovoltaic,20.3,2007
3104,Other renewable energies,Photovoltaic,25.100000000000005,2007
