ID,Municipality,MainCategory,SubCategory,TotalPower
2278,Ulmiz,Other renewable energies,Photovoltaic,282.08
2284,Mont-Vully,Other renewable energies,Photovoltaic,2836.91
2284,Mont-Vully,Other renewable energies,Biomass,220.00
2292,Brünisried,Other renewable energies,Photovoltaic,832.10
2292,Brünisried,Other renewable energies,Biomass,43.50
2293,Düdingen,Other renewable energies,Photovoltaic,6251.46
2293,Düdingen,Other renewable energies,Biomass,843.00
2294,Giffers,Other renewable energies,Photovoltaic,823.25
2295,Bösingen,Other renewable energies,Photovoltaic,8551.84
2295,Bösingen,Other renewable energies,Biomass,410.00
2295,Bösingen,Hydroelectric power,Hydroelectric power,5.81
2296,Heitenried,Other renewable energies,Photovoltaic,1860.29
2296,Heitenried,Other renewable energies,Biomass,75.20
2300,Plasselb,Other renewable energies,Photovoltaic,596.89
2301,Rechthalten,Other renewable energies,Photovoltaic,800.95
2303,St. Silvester,Other renewable energies,Photovoltaic,509.26
2304,St. Ursen,Other renewable energies,Photovoltaic,3392.88
2304,St. Ursen,Hydroelectric power,Hydroelectric power,30.00
2305,Schmitten (FR),Other renewable energies,Photovoltaic,4965.39
2309,Wünnewil-Flamatt,Other renewable energies,Photovoltaic,903.19
2321,Attalens,Other renewable energies,Photovoltaic,2910.04
2323,Bossonnens,Other renewable energies,Photovoltaic,1308.67
2325,Châtel-Saint-Denis,Other renewable energies,Photovoltaic,6503.89
2325,Châtel-Saint-Denis,Hydroelectric power,Hydroelectric power,110.00
2328,Granges (Veveyse),Other renewable energies,Photovoltaic,1394.14
2335,Saint-Martin (FR),Other renewable energies,Photovoltaic,1436.10
2336,Semsales,Other renewable energies,Photovoltaic,2593.57
2337,Le Flon,Other renewable energies,Photovoltaic,747.24
2338,La Verrerie,Other renewable energies,Photovoltaic,2560.26
2401,Egerkingen,Other renewable energies,Photovoltaic,1502.23
2402,Härkingen,Other renewable energies,Photovoltaic,2596.70
2403,Kestenholz,Other renewable energies,Photovoltaic,2359.39
2404,Neuendorf,Other renewable energies,Photovoltaic,11752.62
2405,Niederbuchsiten,Other renewable energies,Photovoltaic,935.36
2406,Oberbuchsiten,Other renewable energies,Photovoltaic,3512.96
2407,Oensingen,Other renewable energies,Biomass,889.00
2407,Oensingen,Other renewable energies,Photovoltaic,6669.32
2407,Oensingen,Other renewable energies,Wind energy,6.40
2408,Wolfwil,Other renewable energies,Photovoltaic,2257.79
2421,Aedermannsdorf,Other renewable energies,Photovoltaic,831.19
2421,Aedermannsdorf,Hydroelectric power,Hydroelectric power,10.00
2424,Herbetswil,Other renewable energies,Photovoltaic,597.18
2425,Holderbank (SO),Other renewable energies,Photovoltaic,424.80
2426,Laupersdorf,Other renewable energies,Photovoltaic,1502.39
2427,Matzendorf,Other renewable energies,Photovoltaic,665.28
2428,Mümliswil-Ramiswil,Other renewable energies,Photovoltaic,792.26
2445,Biezwil,Other renewable energies,Photovoltaic,555.38
2455,Lüterkofen-Ichertswil,Other renewable energies,Photovoltaic,471.25
2456,Lüterswil-Gächliwil,Other renewable energies,Photovoltaic,314.49
2457,Messen,Other renewable energies,Photovoltaic,517.16
2461,Schnottwil,Other renewable energies,Photovoltaic,1866.92
2464,Lüsslingen-Nennigkofen,Other renewable energies,Photovoltaic,1440.93
2465,Buchegg,Other renewable energies,Photovoltaic,2618.43
2471,Bättwil,Other renewable energies,Photovoltaic,5165.42
2472,Büren (SO),Other renewable energies,Photovoltaic,545.22
2473,Dornach,Other renewable energies,Photovoltaic,2003.55
2473,Dornach,Fossil fuel,Natural gas,271.20
2473,Dornach,Hydroelectric power,Hydroelectric power,1600.00
2474,Gempen,Other renewable energies,Photovoltaic,606.53
2475,Hochwald,Other renewable energies,Photovoltaic,1545.00
2475,Hochwald,Other renewable energies,Biomass,56.00
2476,Hofstetten-Flüh,Other renewable energies,Photovoltaic,1344.23
2477,Metzerlen-Mariastein,Other renewable energies,Photovoltaic,416.94
2478,Nuglar-St. Pantaleon,Other renewable energies,Photovoltaic,719.87
2479,Rodersdorf,Other renewable energies,Photovoltaic,933.62
2480,Seewen,Other renewable energies,Photovoltaic,1338.59
2481,Witterswil,Other renewable energies,Photovoltaic,761.35
2491,Hauenstein-Ifenthal,Other renewable energies,Photovoltaic,618.15
2492,Kienberg,Other renewable energies,Photovoltaic,372.76
2493,Lostorf,Other renewable energies,Photovoltaic,2359.28
2495,Niedergösgen,Other renewable energies,Photovoltaic,4654.58
